0.50   1.00  1  1  2   1.00 1.00 1.00
0.50   1.00  1  2  3   1.00 1.00 1.00
0.50   1.00  1  3  4   1.00 1.00 1.00
0.50   1.00  1  4  1   1.00 1.00 1.00
1.00   1.00  1  5  6   1.00 1.00 1.00
1.00   1.00  1  6  7   1.00 1.00 1.00
1.00   1.00  1  7  8   1.00 1.00 1.00
1.00   1.00  1  8  5   1.00 1.00 1.00
1.25   1.00  1  9  10  1.00 1.00 1.00
1.25   1.00  1  10 11  1.00 1.00 1.00
1.25   1.00  1  11 12  1.00 1.00 1.00
1.25   1.00  1  12 9   1.00 1.00 1.00
1.30   1.00  1  13 14  1.00 1.00 1.00
1.30   1.00  1  14 15  1.00 1.00 1.00
1.30   1.00  1  15 16  1.00 1.00 1.00
1.30   1.00  1  16 13  1.00 1.00 1.00
10.0   1.00  1  1  5   1.00 1.00 1.00
10.0   1.00  1  1  9   1.00 1.00 1.00
10.0   1.00  1  1  13  1.00 1.00 1.00
10.0   1.00  1  5  9   1.00 1.00 1.00
10.0   1.00  1  5  13  1.00 1.00 1.00
10.0   1.00  1  9  13  1.00 1.00 1.00
