0.00    1.00   1   1.00 1.00 1.00
0.00    1.00   1   1.00 1.00 1.00
0.00    1.00   1   1.00 1.00 1.00
0.00    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.50    1.00   1   1.00 1.00 1.00
0.25    1.00   1   1.00 1.00 1.00
0.25    1.00   1   1.00 1.00 1.00
0.25    1.00   1   1.00 1.00 1.00
0.25    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
0.30    1.00   1   1.00 1.00 1.00
